CODIGO DE CLASE,CODIGO DE FAMILIA,DESCRIPCION DE CLASE
102022,1020,102022-ROSALES VIVOS DURAZNO
102023,1020,102023-ROSALES VIVOS ROSADOS
102024,1020,102024-ROSALES VIVOS ROJOS O BURGUNDY
102025,1020,102025-ROSALES VIVOS SWEETHEART
102026,1020,102026-ROSALES VIVOS BLANCOS
102027,1020,102027-ROSALES VIVOS AMARILLOS
102028,1020,102028-ROSALES VIVOS SPRAY
102115,1021,102115-ANTURIOS VIVOS
102116,1021,102116-ALLIUM VIVO
102117,1021,102117-ASTROMELIA VIVA
102118,1021,102118-AMARANTO VIVO
102119,1021,102119-AMARYLLIS VIVO
102120,1021,102120-ANÉMONA VIVA
102121,1021,102121-ASCLEPIA VIVA
102122,1021,102122-ASTER VIVA
102123,1021,102123-BERZELIA VIVA
102124,1021,102124-BOUVARIA VIVA
102125,1021,102125-BRODIAEA VIVA
102126,1021,102126-CALLA VIVA
102128,1021,102128-CELOSIA VIVA
102129,1021,102129-NARCISO VIVO
102130,1021,102130-DALIA VIVA
102131,1021,102131-DELPHINIUM VIVO
102132,1021,102132-CLAVEL (DIANTHUS) VIVO
102133,1021,102133-EREMRUSES VIVAS
102134,1021,102134-BREZO (ERICA) VIVA
102135,1021,102135-EUPHORBIA VIVA
102136,1021,102136-FRESIA VIVA
102137,1021,102137-AJEDREZADA VIVA
102138,1021,102138-HINIESTA VIVA
102139,1021,102139-MARGARITA VIVA
102140,1021,102140-JENGIBRE VIVO
102141,1021,102141-GLADIOLO VIVO
102142,1021,102142-GODETIA VIVA
102143,1021,102143-BROMELIA VIVA
102144,1021,102144-GYPSOPHILIA VIVA 
102145,1021,102145-BREZO VIVO
102146,1021,102146-HELICONIA VIVA
102147,1021,102147-JACINTO VIVO
102148,1021,102148-HYDRANGEA VIVA
102149,1021,102149-IRIS VIVA
102150,1021,102150-PATA DE CANGURO VIVA 
102151,1021,102151-DELFINIO VIVO
102152,1021,102152-LEPTO VIVO
102153,1021,102153-LILA VIVA
102154,1021,102154-AZUCENA VIVA 
102155,1021,102155-LAVANDA VIVA
102156,1021,102156-LISIANTHUS VIVO 
102157,1021,102157-MUSCARI VIVA 
102158,1021,102158-NARCISO VIVO
102160,1021,102160-PIMIENTOS ORNAMENTALES VIVOS
102161,1021,102161-ESTRELLA DE BELÉN VIVA
102162,1021,102162-PEONIA VIVA
102163,1021,102163-BANKSIA VIVA
102164,1021,102164-RANÚCULO VIVO
102165,1021,102165-ESCABIOSA VIVA
102166,1021,102166-RETAMA DE ESCOBAS VIVA 
102167,1021,102167-BOCA DE DRAGÓN VIVA 
102168,1021,102168-ROMERO DEL PANTANO VIVA 
102169,1021,102169-MATIOLA VIVA
102170,1021,102170-GIRASOL VIVA
102171,1021,102171-GUISANTE DE OLOR VIVO
102172,1021,102172-CARDO VIVO
102173,1021,102173-TULIPÁN VIVO
102174,1021,102174-FLOR DE CERA VIVA
102175,1021,102175-HIERBA DE AQUILES VIVA 
102176,1021,102176-ZINNIA VIVA 
102177,1021,102177-FORSYTHIA VIVA 
102178,1021,102178-GERANIO VIVO
102179,1021,102179-AMARYLLIS VIVA 
102180,1021,102180-RUBDECKIA VIVA 
102181,1021,102181-PROTEA VIVA
102182,1021,102182-LEUCADENDRON VIVO 
102183,1021,102183-LEUCOSPERMUM VIVO 
102215,1022,102215-AGAPANTO VIVO
102216,1022,102216-ALCHIMILLA VIVA 
102217,1022,102217-ASTILBE VIVO 
102218,1022,102218-ANGÉLICA VIVA 
102219,1022,102219-AJENJO VIVO 
102220,1022,102220-FLOR DE ALCACHOFA VIVA 
102221,1022,102221-ASTRANTIA VIVA
102222,1022,102222-FLOR DE BANANO VIVA 
102223,1022,102223-BAPTISIA VIVA
102224,1022,102224-BORONIA VIVA 
102225,1022,102225-BROMELIA VIVA
102226,1022,102226-BRUNIA VIVA
102227,1022,102227-CATALEA VIVA
102228,1022,102228-CALCYNIA VIVA
102229,1022,102229-CALÉNDULA VIVA
102230,1022,102230-CAMPANILLA VIVA
102231,1022,102231-CESTRUM VIVO
102232,1022,102232-CHASMANTE VIVA
102233,1022,102233-COSTUS VIVA
102234,1022,102234-VARA DE SAN JOSE VIVA
102235,1022,102235-LIRIO DEL FUEGO VIVO
102236,1022,102236-FLOR DEL MUELLE VIVA 
102237,1022,102237-PLANTA ERIZO VIVA
102238,1022,102238-MANZANILLA VIVA
102239,1022,102239-NOMEOLVIDES VIVA
102240,1022,102240-GALLARDIA VIVA
102241,1022,102241-GENCIANA VIVA
102242,1022,102242-GLADIOLO VIVO
102243,1022,102243-GLORIOSA VIVA
102244,1022,102244-VIOLETA SILVESTRE VIVA 
102245,1022,102245-ELÉBORO VIVO 
102246,1022,102246-IXIA VIVA 
102247,1022,102247-LIATRISES VIVAS
102248,1022,102248-LYSIMACHIA VIVA
102249,1022,102249-MARACA VIVA
102250,1022,102250-CALÉNDULA VIVA
102251,1022,102251-MIMOSA VIVA
102252,1022,102252-NERINA VIVA
102253,1022,102253-FLOR DE NOGAL VIVA
102254,1022,102254-PHLOX VIVA
102255,1022,102255-PHYSOSTEGIA VIVA
102256,1022,102256-SAPONARIA VIVA
102257,1022,102257-SARRACENIAS VIVAS
102258,1022,102258-SICILIA VIVA
102259,1022,102259-SEDUM VIVA
102260,1022,102260-ESPECIES INDIVIDUALES O VARIEDADES DE FLORES VIVAS
102261,1022,102261-SELLO DE SALOMÓN (POLYGONATO) VIVA
102262,1022,102262-TANACETO VIVO
102263,1022,102263-TRAQUELIO VIVO
102264,1022,102264-TUBEROSAS VIVAS
102265,1022,102265-TWEEDIAS VIVAS
102266,1022,102266-VERÓNICAS VIVAS
102267,1022,102267-WATSONIAS VIVAS
102315,1023,102315-CRISANTEMO VIVO POMPÓN 
102316,1023,102316-CRISANTEMO VIVO POMPÓN MARGARITA
102317,1023,102317-CRISANTEMO VIVO ESPOLLADO CREMON 
102318,1023,102318-CRISANTEMO VIVO ESPOLLADO FOOTBALL
102319,1023,102319-CRISANTEMO SPIDER VIVO 
102320,1023,102320-CRISANTEMO VIVO  NOVELTY
102321,1023,102321-CRISANTEMO VIVO SANTINI
102415,1024,102415-CLAVEL VIVO DE FLORACIÓN SENCILLA
102416,1024,102416-CLAVEL VIVO MINI O SPRAY
102515,1025,102515-ORQUIDEA CYPRIPEDIUM  O PANTUFLAS DE DAMA VIVA
102516,1025,102516-ORQUÍDEA MOCARA VIVA 
102517,1025,102517-ORQUÍDEA CATLEYA VIVA 
102518,1025,102518-ORQUÍDEA DISA VIVA
102519,1025,102519-ORQUÍDEA ARACHNIS VIVA 
102520,1025,102520-ORQUÍDEA PHALAENOPSIS VIVA 
102521,1025,102521-ORQUÍDEA DENDROBIUM VIVA 
102522,1025,102522-ORQUÍDEA CYMBIDIUM VIVA
102523,1025,102523-ORQUÍDEA ONCIDIUM VIVA 
102524,1025,102524-ORQUÍDEA VANDA VIVA
103015,1030,103015-ROSAS CORTADAS FRESCAS AZULES O LAVANDA O PÚRPURA
103016,1030,103016-ROSAS CORTADAS FRESCAS CHOCOLATE O MARRÓN
103017,1030,103017-ROSAS CORTADAS FRESCAS CREMA
103018,1030,103018-ROSAS CORTADAS FRESCAS VERDES O LIMA
103019,1030,103019-ROSAS CORTADAS FRESCAS ROSADO CLARO
103020,1030,103020-ROSAS CORTADAS FRESCAS MULTICOLOR ROSADOS
103021,1030,103021-ROSAS CORTADAS FRESCAS ANARANJADOS
103022,1030,103022-ROSAS CORTADAS FRESCAS DURAZNO
103023,1030,103023-ROSAS CORTADAS FRESCAS ROSADOS
103024,1030,103024-ROSAS CORTADAS FRESCAS ROJOS O BURGUNDY
103025,1030,103025-ROSAS CORTADAS FRESCAS SWEETHEART
103026,1030,103026-ROSAS CORTADAS FRESCAS BLANCOS
103027,1030,103027-ROSAS CORTADAS FRESCAS AMARILLOS
103028,1030,103028-ROSAS CORTADAS FRESCAS SPRAY
103115,1031,103115-ANTURIOS CORTADOS FRESCOS
103116,1031,103116-ALLIUM CORTADO FRESCO
103117,1031,103117-ASTROMELIA CORTADA FRESCA
103118,1031,103118-AMARANTO CORTADO FRESCO
103119,1031,103119-AMARYLLIS CORTADO FRESCO
103120,1031,103120-ANÉMONA CORTADA FRESCA
103121,1031,103121-ASCLEPIA CORTADA FRESCA
103122,1031,103122-ASTER CORTADA FRESCA
103123,1031,103123-BERZELIA CORTADA FRESCA
103124,1031,103124-BOUVARIA CORTADA FRESCA
103125,1031,103125-BRODIAEA CORTADA FRESCA
103126,1031,103126-CALLA CORTADA FRESCA
103128,1031,103128-CELOSIA CORTADA FRESCA
103129,1031,103129-NARCISO CORTADO FRESCO
103130,1031,103130-DALIA CORTADA FRESCA
103131,1031,103131-DELPHINIUM CORTADO FRESCO
103132,1031,103132-CLAVEL (DIANTHUS) CORTADO FRESCO
103133,1031,103133-EREMRUSES CORTADAS FRESCAS
103134,1031,103134-BREZO (ERICA) CORTADA FRESCA
103135,1031,103135-EUPHORBIA CORTADA FRESCA
103136,1031,103136-FRESIA CORTADA FRESCA
103137,1031,103137-AJEDREZADA CORTADA FRESCA
103138,1031,103138-HINIESTA CORTADA FRESCA
103139,1031,103139-MARGARITA CORTADA FRESCA
103140,1031,103140-JENGIBRE CORTADO FRESCO
103141,1031,103141-GLADIOLO CORTADO FRESCO
103142,1031,103142-GODETIA CORTADA FRESCA
103143,1031,103143-BROMELIA CORTADA FRESCA
103144,1031,103144-GYPSOPHILIA CORTADA FRESCA 
103145,1031,103145-BREZO CORTADO FRESCO
103146,1031,103146-HELICONIA CORTADA FRESCA
103147,1031,103147-JACINTO CORTADO FRESCO
103148,1031,103148-HYDRANGEA CORTADA FRESCA
103149,1031,103149-IRIS CORTADA FRESCA
103150,1031,103150-PATA DE CANGURO CORTADA FRESCA 
103151,1031,103151-DELFINIO CORTADO FRESCO
103152,1031,103152-LEPTO CORTADO FRESCO
103153,1031,103153-LILA CORTADA FRESCA
103154,1031,103154-AZUCENA CORTADA FRESCA 
103155,1031,103155-LAVANDA CORTADA FRESCA
103156,1031,103156-LISIANTHUS CORTADO FRESCO 
103157,1031,103157-MUSCARI CORTADA FRESCA 
103158,1031,103158-NARCISO CORTADO FRESCO
103160,1031,103160-PIMIENTOS ORNAMENTALES CORTADOS FRESCOS
103161,1031,103161-ESTRELLA DE BELÉN CORTADA FRESCA
103162,1031,103162-PEONIA CORTADA FRESCA
103163,1031,103163-BANKSIA CORTADA FRESCA
103164,1031,103164-RANÚCULO CORTADO FRESCO
103165,1031,103165-ESCABIOSA CORTADA FRESCA
103166,1031,103166-RETAMA DE ESCOBAS CORTADA FRESCA 
103167,1031,103167-BOCA DE DRAGÓN CORTADA FRESCA 
103168,1031,103168-ROMERO DEL PANTANO CORTADA FRESCA 
103169,1031,103169-MATIOLA CORTADA FRESCA
103170,1031,103170-GIRASOL CORTADA FRESCA
103171,1031,103171-GUISANTE DE OLOR CORTADO FRESCO
103172,1031,103172-CARDO CORTADO FRESCO
103173,1031,103173-TULIPÁN CORTADO FRESCO
103174,1031,103174-FLOR DE CERA CORTADA FRESCA
103175,1031,103175-HIERBA DE AQUILES CORTADA FRESCA 
103176,1031,103176-ZINIA CORTADA FRESCA 
103177,1031,103177-FORSYTHIA CORTADA FRESCA 
103178,1031,103178-GERANIO CORTADO FRESCO
103179,1031,103179-AMARYLLIS CORTADA FRESCA 
103180,1031,103180-RUBDECKIA CORTADA FRESCA 
103181,1031,103181-PROTEA CORTADA FRESCA
103182,1031,103182-LEUCADENDRON CORTADO FRESCO 
103183,1031,103183-LEUCOSPERMUM CORTADO FRESCO 
103215,1032,103215-AGAPANTO CORTADO FRESCO
103216,1032,103216-ALCHIMILLA CORTADA FRESCA 
103217,1032,103217-ASTILBE CORTADO FRESCO 
103218,1032,103218-ANGÉLICA CORTADA FRESCA 
103219,1032,103219-AJENJO CORTADO FRESCO 
103220,1032,103220-FLOR DE ALCACHOFA CORTADA FRESCA 
103221,1032,103221-ASTRANTIA CORTADA FRESCA
103222,1032,103222-FLOR DE BANANO CORTADA FRESCA 
103223,1032,103223-BAPTISIA CORTADA FRESCA
103224,1032,103224-BORONIA CORTADA FRESCA 
103225,1032,103225-BROMELIA CORTADA FRESCA
103226,1032,103226-BRUNIA CORTADA FRESCA
103227,1032,103227-CATALEA CORTADA FRESCA
103228,1032,103228-CALCYNIA CORTADA FRESCA
103229,1032,103229-CALÉNDULA CORTADA FRESCA
103230,1032,103230-CAMPANILLA CORTADA FRESCA
103231,1032,103231-CESTRUM CORTADO FRESCO
103232,1032,103232-CHASMANTE CORTADA FRESCA
103233,1032,103233-COSTUS CORTADA FRESCA
103234,1032,103234-VARA DE SAN JOSE CORTADA FRESCA
103235,1032,103235-LIRIO DEL FUEGO CORTADO FRESCO
103236,1032,103236-FLOR DEL MUELLE CORTADA FRESCA 
103237,1032,103237-PLANTA ERIZO CORTADA FRESCA
103238,1032,103238-MANZANILLA CORTADA FRESCA
103239,1032,103239-NOMEOLVIDES CORTADA FRESCA
103240,1032,103240-GALLARDIA CORTADA FRESCA
103241,1032,103241-GENCIANA CORTADA FRESCA
103242,1032,103242-GLADIOLO CORTADO FRESCO
103243,1032,103243-GLORIOSA CORTADA FRESCA
103244,1032,103244-VIOLETA SILVESTRE CORTADA FRESCA 
103245,1032,103245-ELÉBORO CORTADO FRESCO 
103246,1032,103246-IXIA CORTADA FRESCA 
103247,1032,103247-LIATRISES CORTADAS FRESCAS
103248,1032,103248-LYSIMACHIA CORTADA FRESCA
103249,1032,103249-MARACA CORTADA FRESCA
103250,1032,103250-CALÉNDULA CORTADA FRESCA
103251,1032,103251-MIMOSA CORTADA FRESCA
103252,1032,103252-NERINA CORTADA FRESCA
103253,1032,103253-FLOR DE NOGAL CORTADA FRESCA
103254,1032,103254-PHLOX CORTADA FRESCA
103255,1032,103255-PHYSOSTEGIA CORTADA FRESCA
103256,1032,103256-SAPONARIA CORTADA FRESCA
103257,1032,103257-SARRACENIAS CORTADAS FRESCAS
103258,1032,103258-SICILIA CORTADA FRESCA
103259,1032,103259-SEDUM CORTADA FRESCA
103260,1032,103260-ESPECIES INDIVIDUALES O VARIEDADES DE FLORES CORTADAS FRESCAS
103261,1032,103261-SELLO DE SALOMÓN (POLYGONATO) CORTADA FRESCA
103262,1032,103262-TANACETO CORTADO FRESCO
103263,1032,103263-TRAQUELIO CORTADO FRESCO
103264,1032,103264-TUBEROSAS CORTADAS FRESCAS
103265,1032,103265-TWEEDIAS CORTADAS FRESCAS
103266,1032,103266-VERÓNICAS CORTADAS FRESCAS
103267,1032,103267-WATSONIAS CORTADAS FRESCAS
103315,1033,103315-CRISANTEMO CORTADO FRESCO POMPÓN 
103316,1033,103316-CRISANTEMO CORTADO FRESCO POMPÓN MARGARITA
103317,1033,103317-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON 
103318,1033,103318-CRISANTEMO CORTADO FRESCO ESPOLLADO FOOTBALL
103319,1033,103319-CRISANTEMO SPIDER CORTADO FRESCO 
103320,1033,103320-CRISANTEMO CORTADO FRESCO  NOVELTY
103321,1033,103321-CRISANTEMO CORTADO FRESCO SANTINI
103415,1034,103415-BOUQUET CORTADO FRESCO DE ROSA
103416,1034,103416-BOUQUET CORTADO FRESCO DE CLAVEL 
103417,1034,103417-BOUQUET CORTADO FRESCO DE MINI CLAVEL 
103418,1034,103418-BOUQUET CORTADO FRESCO DE LIRIO 
103419,1034,103419-BOUQUET CORTADO FRESCO DE CRISANTEMO POMPÓN
103420,1034,103420-BOUQUET CORTADO FRESCO DE ASTROMELIA 
103421,1034,103421-BOUQUET CORTADO FRESCO DE FLORES TROPICALES
103422,1034,103422-BOUQUET CORTADO FRESCO FLORAL MIXTO
103515,1035,103515-BOUQUET CORTADO FRESCO DE CLAVEL DE FLORACIÓN SENCILLA
103516,1035,103516-BOUQUET CORTADO FRESCO DE CLAVEL MIN O SPRAY
103615,1036,103615-ORQUIDEA CYPRIPEDIUM  O PANTUFLAS DE DAMA CORTADA FRESCA
103616,1036,103616-ORQUÍDEA MOCARA CORTADA FRESCA 
103617,1036,103617-ORQUÍDEA CATLEYA CORTADA FRESCA 
103618,1036,103618-ORQUÍDEA DISA CORTADA FRESCA
103619,1036,103619-ORQUÍDEA ARACHNIS CORTADA FRESCA 
103620,1036,103620-ORQUÍDEA PHALAENOPSIS CORTADA FRESCA 
103621,1036,103621-ORQUÍDEA DENDROBIUM CORTADA FRESCA 
103622,1036,103622-ORQUÍDEA CYMBIDIUM CORTADA FRESCA
103623,1036,103623-ORQUÍDEA ONCIDIUM CORTADA FRESCA 
103624,1036,103624-ORQUÍDEA VANDA CORTADA FRESCA
104015,1040,104015-ROSAS CORTADAS SECAS AZULES O LAVANDA O PÚRPURA
104016,1040,104016-ROSAS CORTADAS SECAS CHOCOLATE O MARRÓN
104017,1040,104017-ROSAS CORTADAS SECAS CREMA
104018,1040,104018-ROSAS CORTADAS SECAS VERDES O LIMA
104019,1040,104019-ROSAS CORTADAS SECAS ROSADO CLARO
104020,1040,104020-ROSAS CORTADAS SECAS MULTICOLOR ROSADOS
104021,1040,104021-ROSAS CORTADAS SECAS ANARANJADOS
104022,1040,104022-ROSAS CORTADAS SECAS DURAZNO
104023,1040,104023-ROSAS CORTADAS SECAS ROSADOS
104024,1040,104024-ROSAS CORTADAS SECAS ROJOS O BURGUNDY
104025,1040,104025-ROSAS CORTADAS SECAS SWEETHEART
104026,1040,104026-ROSAS CORTADAS SECAS BLANCOS
104027,1040,104027-ROSAS CORTADAS SECAS AMARILLOS
104028,1040,104028-ROSAS CORTADAS SECAS SPRAY
104115,1041,104115-ANTURIOS CORTADO SECOS
104116,1041,104116-ALLIUM CORTADO SECO
104117,1041,104117-ASTROMELIA CORTADA SECA
104118,1041,104118-AMARANTO CORTADO SECO
104119,1041,104119-AMARYLLIS CORTADO SECO
104120,1041,104120-ANÉMONA CORTADA SECA
104121,1041,104121-ASCLEPIA CORTADA SECA
104122,1041,104122-ASTER CORTADA SECA
104123,1041,104123-BERZELIA CORTADA SECA
104124,1041,104124-BOUVARIA CORTADA SECA
104125,1041,104125-BRODIAEA CORTADA SECA
104126,1041,104126-CALLA CORTADA SECA
104128,1041,104128-CELOSIA CORTADA SECA
104129,1041,104129-NARCISO CORTADO SECO
104130,1041,104130-DALIA CORTADA SECA
104131,1041,104131-DELPHINIUM CORTADO SECO
104132,1041,104132-CLAVEL (DIANTHUS) CORTADO SECO
104133,1041,104133-EREMRUSES CORTADAS SECAS
104134,1041,104134-BREZO (ERICA) CORTADA SECA
104135,1041,104135-EUPHORBIA CORTADA SECA
104136,1041,104136-FRESIA CORTADA SECA
104137,1041,104137-AJEDREZADA CORTADA SECA
104138,1041,104138-HINIESTA CORTADA SECA
104139,1041,104139-MARGARITA CORTADA SECA
104140,1041,104140-JENGIBRE CORTADO SECO
104141,1041,104141-GLADIOLO CORTADO SECO
104142,1041,104142-GODETIA CORTADA SECA
104143,1041,104143-BROMELIA CORTADA SECA
104144,1041,104144-GYPSOPHILIA CORTADA SECA 
104145,1041,104145-BREZO CORTADO SECO
104146,1041,104146-HELICONIA CORTADA SECA
104147,1041,104147-JACINTO CORTADO SECO
104148,1041,104148-HYDRANGEA CORTADA SECA
104149,1041,104149-IRIS CORTADA SECA
104150,1041,104150-PATA DE CANGURO CORTADA SECA 
104151,1041,104151-DELFINIO CORTADO SECO
104152,1041,104152-LEPTO CORTADO SECO
104153,1041,104153-LILA CORTADA SECA
104154,1041,104154-AZUCENA CORTADA SECA 
104155,1041,104155-LAVANDA CORTADA SECA
104156,1041,104156-LISIANTHUS CORTADO SECO 
104157,1041,104157-MUSCARI CORTADA SECA 
104158,1041,104158-NARCISO CORTADO SECO
104160,1041,104160-PIMIENTOS ORNAMENTALES CORTADO SECOS
104161,1041,104161-ESTRELLA DE BELÉN CORTADA SECA
104162,1041,104162-PEONIA CORTADA SECA
104163,1041,104163-BANKSIA CORTADA SECA
104164,1041,104164-RANÚCULO CORTADO SECO
104165,1041,104165-ESCABIOSA CORTADA SECA
104166,1041,104166-RETAMA DE ESCOBAS CORTADA SECA 
104167,1041,104167-BOCA DE DRAGÓN CORTADA SECA 
104168,1041,104168-ROMERO DEL PANTANO CORTADA SECA 
104169,1041,104169-MATIOLA CORTADA SECA
104170,1041,104170-GIRASOL CORTADA SECA
104171,1041,104171-GUISANTE DE OLOR CORTADO SECO
104172,1041,104172-CARDO CORTADO SECO
104173,1041,104173-TULIPÁN CORTADO SECO
104174,1041,104174-FLOR DE CERA CORTADA SECA
104175,1041,104175-HIERBA DE AQUILES CORTADA SECA 
104176,1041,104176-ZINIA CORTADA SECA 
104177,1041,104177-FORSYTHIA CORTADA SECA 
104178,1041,104178-GERANIO CORTADO SECO
104179,1041,104179-AMARYLLIS CORTADA SECA 
104180,1041,104180-RUBDECKIA CORTADA SECA 
104181,1041,104181-PROTEA CORTADA SECA
104182,1041,104182-LEUCADENDRON CORTADO SECO 
104183,1041,104183-LEUCOSPERMUM CORTADO SECO 
104215,1042,104215-AGAPANTO CORTADO SECO
104216,1042,104216-ALCHIMILLA CORTADA SECA 
104217,1042,104217-ASTILBE CORTADO SECO 
104218,1042,104218-ANGÉLICA CORTADA SECA 
104219,1042,104219-AJENJO CORTADO SECO 
104220,1042,104220-FLOR DE ALCACHOFA CORTADA SECA 
104221,1042,104221-ASTRANTIA CORTADA SECA
104222,1042,104222-FLOR DE BANANO CORTADA SECA 
104223,1042,104223-BAPTISIA CORTADA SECA
104224,1042,104224-BORONIA CORTADA SECA 
104225,1042,104225-BROMELIA CORTADA SECA
104226,1042,104226-BRUNIA CORTADA SECA
104227,1042,104227-CATALEA CORTADA SECA
104228,1042,104228-CALCYNIA CORTADA SECA
104229,1042,104229-CALÉNDULA CORTADA SECA
104230,1042,104230-CAMPANILLA CORTADA SECA
104231,1042,104231-CESTRUM CORTADO SECO
104232,1042,104232-CHASMANTE CORTADA SECA
104233,1042,104233-COSTUS CORTADA SECA
104234,1042,104234-VARA DE SAN JOSE CORTADA SECA
104235,1042,104235-LIRIO DEL FUEGO CORTADO SECO
104236,1042,104236-FLOR DEL MUELLE CORTADA SECA 
104237,1042,104237-PLANTA ERIZO CORTADA SECA
104238,1042,104238-MANZANILLA CORTADA SECA
104239,1042,104239-NOMEOLVIDES CORTADA SECA
104240,1042,104240-GALLARDIA CORTADA SECA
104241,1042,104241-GENCIANA CORTADA SECA
104242,1042,104242-GLADIOLO CORTADO SECO
104243,1042,104243-GLORIOSA CORTADA SECA
104244,1042,104244-VIOLETA SILVESTRE CORTADA SECA 
104245,1042,104245-ELEBORO CORTADO SECO 
104246,1042,104246-IXIA CORTADA SECA 
104247,1042,104247-LIATRISES CORTADAS SECAS
104248,1042,104248-LYSIMACHIA CORTADA SECA
104249,1042,104249-MARACA CORTADA SECA
104250,1042,104250-CALENDULA CORTADA SECA
104251,1042,104251-MIMOSA CORTADA SECA
104252,1042,104252-NERINA CORTADA SECA
104253,1042,104253-FLOR DE NOGAL CORTADA SECA
104254,1042,104254-PHLOX CORTADA SECA
104255,1042,104255-PHYSOSTEGIA CORTADA SECA
104256,1042,104256-SAPONARIA CORTADA SECA
104257,1042,104257-SARRACENIAS CORTADAS SECAS
104258,1042,104258-SICILIA CORTADA SECA
104259,1042,104259-SEDUM CORTADA SECA
104260,1042,104260-ESPECIES INDIVIDUALES O VARIEDADES DE FLORES CORTADAS SECAS
104261,1042,104261-SELLO DE SALOMÓN (POLYGONATO) CORTADA SECA
104262,1042,104262-TANACETO CORTADO SECO
104263,1042,104263-TRAQUELIO CORTADO SECO
104264,1042,104264-TUBEROSAS CORTADAS SECAS
104265,1042,104265-TWEEDIAS CORTADAS SECAS
104266,1042,104266-VERÓNICAS CORTADAS SECAS
104267,1042,104267-WATSONIAS CORTADAS SECAS
104315,1043,104315-CRISANTEMO CORTADO SECO POMPÓN 
104316,1043,104316-CRISANTEMO CORTADO SECO POMPÓN MARGARITA
104317,1043,104317-CRISANTEMO CORTADO SECO ESPOLLADO CREMON 
104318,1043,104318-CRISANTEMO CORTADO SECO ESPOLLADO FOOTBALL
104319,1043,104319-CRISANTEMO SPIDER CORTADO SECO 
104320,1043,104320-CRISANTEMO CORTADO SECO  NOVELTY
104321,1043,104321-CRISANTEMO CORTADO SECO SANTINI
104415,1044,104415-CLAVEL CORTADO SECO DE FLORACIÓN SENCILLA
104416,1044,104416-CLAVEL CORTADO SECO MINI O SPRAY
104515,1045,104515-ORQUIDEA CYPRIPEDIUM  O PANTUFLAS DE DAMA CORTADA SECA
104516,1045,104516-ORQUÍDEA MOCARA CORTADA SECA 
104517,1045,104517-ORQUÍDEA CATLEYA CORTADA SECA 
104518,1045,104518-ORQUÍDEA DISA CORTADA SECA
104519,1045,104519-ORQUÍDEA ARACHNIS CORTADA SECA 
104520,1045,104520-ORQUÍDEA PHALAENOPSIS CORTADA SECA 
104521,1045,104521-ORQUÍDEA DENDROBIUM CORTADA SECA 
104522,1045,104522-ORQUÍDEA CYMBIDIUM CORTADA SECA
